wave,control_id,control_name,target_id,repository_name,applicability_state,applicability_rationale,applicability_owner,evaluation_state,evidence_state,result_state,promotion_state
2D,EMS-CTRL-006,Recovery readiness,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-007,AI-assisted development governance,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-008,Controlled documentation and evidence,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-009,Branch Protection Required,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-010,Pull Request Review,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-011,CODEOWNERS Enforcement,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-012,Signed Commits,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-013,Protected Release Tags,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-014,Mandatory Issue Linkage,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-015,Repository Template Compliance,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-016,Evidence integrity and retention,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-017,Secure Coding Standard,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-018,Secret Scanning,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-019,Dependency Vulnerability Scanning,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-020,License Compliance,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-021,SBOM Generation,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
