wave,control_id,control_name,target_id,repository_name,current_decision,current_rationale,decision_owner,decision_source,human_decision,human_rationale,human_decision_owner,human_decision_source
2D,EMS-CTRL-044,Secrets Management,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-044,Secrets Management,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-044,Secrets Management,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-044,Secrets Management,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-044,Secrets Management,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-044,Secrets Management,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-045,Cloud Resource Tagging,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-048,Environment Separation,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-001,bluto,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-002,fiskroad,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-003,hometown,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-004,nono,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-005,olive,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-061,Database Migration Review,REPO-006,popeye,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-001,bluto,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-002,fiskroad,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-003,hometown,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-004,nono,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-005,olive,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-062,Schema Version Control,REPO-006,popeye,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-063,Data Classification,REPO-001,bluto,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
2D,EMS-CTRL-063,Data Classification,REPO-002,fiskroad,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
2D,EMS-CTRL-063,Data Classification,REPO-004,nono,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-001,bluto,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-002,fiskroad,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-003,hometown,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-004,nono,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-005,olive,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-064,Database Backup Validation,REPO-006,popeye,REVIEW_REQUIRED,Database applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATABASE_UNKNOWN,,,,
2D,EMS-CTRL-065,Data Retention Compliance,REPO-001,bluto,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
2D,EMS-CTRL-065,Data Retention Compliance,REPO-002,fiskroad,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
2D,EMS-CTRL-065,Data Retention Compliance,REPO-004,nono,REVIEW_REQUIRED,Data-governance applicability cannot be proven from repository metadata.,Engineering Management,POLICY_DATA_UNKNOWN,,,,
